DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70990787,"5b-Hydroxy-2,2,13b,13c-tetramethyl-9-(2-methylbut-3-en-2-yl)-2,3,5b,6,7,7a,8,13,13b,13c,14,15-dodecahydro-4H-3,15a-epoxy[1]benzoxepino[6',7':6,7]indeno[1,2-b]indol-4-one",70553-75-2,YVDJBQQJIDPRKP-UHFFFAOYSA-N,"5b-Hydroxy-2,2,13b,13c-tetramethyl-9-(2-methylbut-3-en-2-yl)-2,3,5b,6,7,7a,8,13,13b,13c,14,15-dodecahydro-4H-3,15a-epoxy[1]benzoxepino[6',7':6,7]indeno[1,2-b]indol-4-one",CC(C)(C=C)C1=C2C3=C(NC2=CC=C1)C1(C)C(C3)CCC2(O)C3=CC(=O)C4OC3(CCC12C)OC4(C)C,"InChI=1S/C32H39NO4/c1-8-27(2,3)20-10-9-11-21-24(20)19-16-18-12-13-31(35)23-17-22(34)26-28(4,5)37-32(23,36-26)15-14-29(31,6)30(18,7)25(19)33-21/h8-11,17-18,26,33,35H,1,12-16H2,2-7H3",C32H39NO4,501.667,501.287909,12,,12,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60617911,"(7R,11S,15R,23R,27R)-2,4,18,20-Tetrahydroxy-11-(hydroxymethyl)-7,15,23,27-tetramethyl-7,8,11,12,15,16,23,24,27,28-decahydro-5H,9H,13H,21H,25H-dibenzo[k,u][1,5,9,15,19]pentaoxacyclotetracosine-5,9,13,21,25-pentone",141731-76-2,QFILNQIVBJLREP-RZOYPLJHSA-N,"(7R,11S,15R,23R,27R)-2,4,18,20-Tetrahydroxy-11-(hydroxymethyl)-7,15,23,27-tetramethyl-7,8,11,12,15,16,23,24,27,28-decahydro-5H,9H,13H,21H,25H-dibenzo[k,u][1,5,9,15,19]pentaoxacyclotetracosine-5,9,13,2
1,25-pentone",C[C@@H]1CC2=C(C(O)=CC(O)=C2)C(=O)O[C@H](C)CC(=O)O[C@H](CO)CC(=O)O[C@H](C)CC2=C(C(O)=CC(O)=C2)C(=O)O[C@H](C)CC(=O)O1,"InChI=1S/C32H38O15/c1-15-5-19-9-21(34)11-24(36)29(19)32(42)46-18(4)8-27(39)47-23(14-33)13-28(40)44-16(2)6-20-10-22(35)12-25(37)30(20)31(41)45-17(3)7-26(38)43-15/h9-12,15-18,23,33-37H,5-8,13-14H2,1-4H3/t15-,16-,17-,18-,23+/m1/s1",C32H38O15,662.641,662.221071,3,,7,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00980176,"5b-Hydroxy-2,2,13b,13c-tetramethyl-2,3,5b,6,7,7a,8,13,13b,13c,14,15-dodecahydro-4H-3,15a-epoxy[1]benzoxepino[6',7':6,7]indeno[1,2-b]indol-4-one",63722-91-8,BPTIXFRJAOKMRK-UHFFFAOYSA-N,"5b-Hydroxy-2,2,13b,13c-tetramethyl-2,3,5b,6,7,7a,8,13,13b,13c,14,15-dodecahydro-4H-3,15a-epoxy[1]benzoxepino[6',7':6,7]indeno[1,2-b]indol-4-one",CC1(C)OC23CCC4(C)C5(C)C(CC6=C5NC5=CC=CC=C65)CCC4(O)C2=CC(=O)C1O3,"InChI=1S/C27H31NO4/c1-23(2)22-19(29)14-20-26(30)10-9-15-13-17-16-7-5-6-8-18(16)28-21(17)25(15,4)24(26,3)11-12-27(20,31-22)32-23/h5-8,14-15,22,28,30H,9-13H2,1-4H3",C27H31NO4,433.548,433.225308,11,,9,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60951105,"1,3,6,8-Tetrahydroxy-2-(6-methyloxan-2-yl)anthracene-9,10-dione",28458-24-4,RMAWHAJLOCVQTG-RTHLEPHNSA-N,"1,3,6,8-Tetrahydroxy-2-[(2S,6S)-6-methyloxan-2-yl]anthracene-9,10-dione",[H][C@]1(C)CCC[C@]([H])(O1)C1=C(O)C=C2C(=O)C3=C(C(O)=CC(O)=C3)C(=O)C2=C1O,"InChI=1S/C20H18O7/c1-8-3-2-4-14(27-8)17-13(23)7-11-16(20(17)26)19(25)15-10(18(11)24)5-9(21)6-12(15)22/h5-8,14,21-23,26H,2-4H2,1H3/t8-,14-/m0/s1",C20H18O7,370.357,370.105253,6,,14,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90974322,"6,8-Dimethylergolin-9-ol",58800-20-7,JUXRVSRUBIFVKE-CZLJMHDISA-N,"6,8beta-Dimethylergolin-9alpha-ol",[H][C@]1(C)CN(C)[C@]2([H])CC3=CNC4=CC=CC(=C34)[C@@]2([H])[C@]1([H])O,"InChI=1S/C16H20N2O/c1-9-8-18(2)13-6-10-7-17-12-5-3-4-11(14(10)12)15(13)16(9)19/h3-5,7,9,13,15-17,19H,6,8H2,1-2H3/t9-,13+,15+,16+/m0/s1",C16H20N2O,256.349,256.157563,6,,9,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70199738,"1,5,8-Trihydroxy-3-methylanthraquinone",518-80-9,YOOXNSPYGCZLAX-UHFFFAOYSA-N,"1,5,8-Trihydroxy-3-methylanthracene-9,10-dione",CC1=CC2=C(C(O)=C1)C(=O)C1=C(O)C=CC(O)=C1C2=O,"InChI=1S/C15H10O5/c1-6-4-7-11(10(18)5-6)15(20)13-9(17)3-2-8(16)12(13)14(7)19/h2-5,16-18H,1H3",C15H10O5,270.24,270.052823,10,,27,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50185977,Aflatoxin P1,32215-02-4,NRCXNPKDOMYPPJ-HYORBCNSSA-N,"(6aR,9aS)-4-Hydroxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h][1]benzopyran-1,11-dione",OC1=CC2=C([C@@H]3C=CO[C@@H]3O2)C2=C1C1=C(C(=O)CC1)C(=O)O2,"InChI=1S/C16H10O6/c17-8-2-1-6-11-9(18)5-10-13(7-3-4-20-16(7)21-10)14(11)22-15(19)12(6)8/h3-5,7,16,18H,1-2H2/t7-,16+/m0/s1",C16H10O6,298.25,298.047738,17,8,23,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020787,Luteoskyrin,21884-44-6,KXNUPFFSGSRABD-UHFFFAOYSA-N,"5,8,12,14,20,23,27,28-Octahydroxy-6,21-dimethyloctacyclo[14.11.1.0~2,11~.0~2,15~.0~4,9~.0~13,17~.0~17,26~.0~19,24~]octacosa-4,6,8,11,19,21,23,26-octaene-3,10,18,25-tetrone (non-preferred name)",CC1=CC(O)=C2C(=O)C3=C(O)C4C(O)C5C6C(O)C(C(O)=C7C(=O)C8=C(C(O)=C(C)C=C8O)C(=O)C467)C35C(=O)C2=C1O,"InChI=1S/C30H22O12/c1-5-3-7(31)9-11(19(5)33)27(41)29-13-14-24(38)17(29)26(40)16-22(36)10-8(32)4-6(2)20(34)12(10)28(42)30(14,16)18(23(13)37)25(39)15(29)21(9)35/h3-4,13-14,17-18,23-24,31-34,37-40H,1-2H3",C30H22O12,574.494,574.111126,43,20,31,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8036788,Puromycin,53-79-2,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"3'-Deoxy-N,N-dimethyl-3'-[(O-methyl-L-tyrosyl)amino]adenosine",COC1=CC=C(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)N2C=NC3=C2N=CN=C3N(C)C)C=C1,"InChI=1S/C22H29N7O5/c1-28(2)19-17-20(25-10-24-19)29(11-26-17)22-18(31)16(15(9-30)34-22)27-21(32)14(23)8-12-4-6-13(33-3)7-5-12/h4-7,10-11,14-16,18,22,30-31H,8-9,23H2,1-3H3,(H,27,32)/t14-,15+,16+,18+,22+/m0/s1",C22H29N7O5,471.518,471.223017,68,5643,95,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00849597,"(3E,7S)-6,7-anhydro-1,3,4-trideoxy-5-C-(hydroxymethyl)-7-methyl-D-ribo-hept-3-enitol",157676-96-5,ZXCYAEKEHIEQHD-SVQZIREZSA-N,"(3E,7S)-6,7-Anhydro-1,3,4-trideoxy-5-C-(hydroxymethyl)-7-methyl-D-ribo-hept-3-enitol",[H][C@]1(O[C@H]1C)C(O)(CO)\C=C\[C@H](C)O,"InChI=1S/C9H16O4/c1-6(11)3-4-9(12,5-10)8-7(2)13-8/h3-4,6-8,10-12H,5H2,1-2H3/b4-3+/t6-,7-,8+,9+/m0/s1",C9H16O4,188.223,188.104859,4,,5,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40971740,"3'-Formyl-3,3',3a-trimethyl-6-oxo-2,3,3a,4,6,7b-hexahydro-1aH-spiro[naphtho[1,2-b]oxirene-5,2'-oxiran]-2-yl acetate",56299-00-4,GSPFUBNBRPVALJ-VIEAGMIOSA-N,"(1aR,2R,2'R,3R,3'S,3aR,7bS)-3'-Formyl-3,3',3a-trimethyl-6-oxo-2,3,3a,4,6,7b-hexahydro-1aH-spiro[naphtho[1,2-b]oxirene-5,2'-oxiran]-2-yl acetate",[H][C@@]12O[C@]1([H])[C@]([H])(OC(C)=O)[C@]([H])(C)[C@@]1(C)C[C@]3(O[C@]3(C)C=O)C(=O)C=C21,"InChI=1S/C17H20O6/c1-8-12(21-9(2)19)14-13(22-14)10-5-11(20)17(6-15(8,10)3)16(4,7-18)23-17/h5,7-8,12-14H,6H2,1-4H3/t8-,12+,13-,14+,15+,16+,17-/m0/s1",C17H20O6,320.341,320.125988,22,,17,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60946935,"6-Methyl-9,10-didehydro-2,3-dihydroergoline-8-carboximidic acid",2410-19-7,ITBOACXGWYGOHV-WUMONGPASA-N,"6-Methyl-9,10-didehydro-2,3-dihydroergoline-8beta-carboximidic acid",[H]C12CNC3=CC=CC(=C13)C1=C[C@]([H])(CN(C)[C@]1([H])C2)C(O)=N,"InChI=1S/C16H19N3O/c1-19-8-10(16(17)20)5-12-11-3-2-4-13-15(11)9(7-18-13)6-14(12)19/h2-5,9-10,14,18H,6-8H2,1H3,(H2,17,20)/t9?,10-,14-/m1/s1",C16H19N3O,269.348,269.152812,13,,9,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80891791,Diacetoxyscirpenol,2270-40-8,AUGQEEXBDZWUJY-NMAPUUFXSA-N,"3-Hydroxy-3alpha,4beta-12,13-epoxytrichothec-9-ene-4,15-diyl diacetate",[H][C@@]12O[C@]3([H])C=C(C)CC[C@]3(COC(C)=O)[C@@](C)([C@H](OC(C)=O)[C@H]1O)[C@]21CO1,"InChI=1S/C19H26O7/c1-10-5-6-18(8-23-11(2)20)13(7-10)26-16-14(22)15(25-12(3)21)17(18,4)19(16)9-24-19/h7,13-16,22H,5-6,8-9H2,1-4H3/t13-,14-,15-,16-,17-,18-,19+/m1/s1",C19H26O7,366.41,366.167853,55,,34,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40970591,"7-Chloro-4,6-dimethoxy-3a,12a-dihydro-5H-furo[3',2':4,5]furo[3,2-b]xanthen-5-one",55256-58-1,POXKBPUNCDMQMW-UHFFFAOYSA-N,"7-Chloro-4,6-dimethoxy-3a,12a-dihydro-5H-furo[3',2':4,5]furo[3,2-b]xanthen-5-one",COC1=C2C3C=COC3OC2=CC2=C1C(=O)C1=C(O2)C=CC(Cl)=C1OC,"InChI=1S/C19H13ClO6/c1-22-17-9(20)3-4-10-14(17)16(21)15-12(25-10)7-11-13(18(15)23-2)8-5-6-24-19(8)26-11/h3-8,19H,1-2H3",C19H13ClO6,372.76,372.040066,8,,10,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5023085,Fusaric acid,536-69-6,DGMPVYSXXIOGJY-UHFFFAOYSA-N,5-Butylpyridine-2-carboxylic acid,CCCCC1=CN=C(C=C1)C(O)=O,"InChI=1S/C10H13NO2/c1-2-3-4-8-5-6-9(10(12)13)11-7-8/h5-7H,2-4H2,1H3,(H,12,13)",C10H13NO2,179.219,179.094629,112,237,152,1,1,1/79,1.0,79
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9041079,Nigericin,28380-24-7,DANUORFCFTYTSZ-SJSJOXFOSA-N,"(2R)-2-[(2R,3S,6R)-6-{[(4R,5R,7R,9R,10R)-2-{(3'S)-5'-[(3S,5R,6R)-6-Hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-2,3'-dimethyl[2,2'-bioxolan]-5-yl}-9-methoxy-2,4,10-trimethyl-1,6-dioxaspiro[4.5]dec
an-7-yl]methyl}-3-methyloxan-2-yl]propanoic acid",CO[C@@H]1C[C@@H](C[C@H]2CC[C@H](C)[C@@H](O2)[C@@H](C)C(O)=O)O[C@]2(O[C@@](C)(C[C@H]2C)[C@H]2CC[C@](C)(O2)[C@@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@@](O)(CO)[C@H](C)C[C@@H]2C)[C@@H]1C,"InChI=1S/C40H68O11/c1-21-11-12-28(46-33(21)26(6)36(42)43)17-29-18-30(45-10)27(7)40(48-29)25(5)19-38(9,51-40)32-13-14-37(8,49-32)35-23(3)16-31(47-35)34-22(2)15-24(4)39(44,20-41)50-34/h21-35,41,44H,11-20H2,1-10H3,(H,42,43)/t21-,22-,23-,24+,25+,26+,27+,28+,29+,30+,31+,32+,33+,34-,35+,37-,38-,39-,40+/m0/s1",C40H68O11,724.973,724.476163,55,1084,47,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80971688,"1,6,8c-Trihydroxy-7a,8a,8b,8c,9,10-hexahydroperylo[1,2-b]oxirene-7,11-dione",56257-59-1,UBVHBTLDPUYTDO-UHFFFAOYSA-N,"1,6,8c-Trihydroxy-7a,8a,8b,8c,9,10-hexahydroperylo[1,2-b]oxirene-7,11-dione",OC1=C2C(=O)C3OC3C3C2=C(C=C1)C1=C2C(C(=O)CCC32O)=C(O)C=C1,"InChI=1S/C20H14O6/c21-9-4-2-8-7-1-3-10(22)14-12(7)16(18-19(26-18)17(14)24)20(25)6-5-11(23)13(9)15(8)20/h1-4,16,18-19,21-22,25H,5-6H2",C20H14O6,350.326,350.079038,10,,11,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70998607,"1',9-Dihydroxy-1',4,4,8',8',11'-hexamethyl-2',3',8'a,9'-tetrahydro-1'H,4H,5'H,6'H,8'H-spiro[1,4-dioxepino[2,3-g]indole-8,7'-[5a,9a](epiminomethano)cyclopenta[f]indolizin]-10'-one",77392-58-6,UVZZDDLIOJPDKX-ITKQZBBDSA-N,"(1'R,5'aS,7'R,8'aS,9'aR)-1',9-Dihydroxy-1',4,4,8',8',11'-hexamethyl-2',3',8'a,9'-tetrahydro-1'H,4H,5'H,6'H,8'H-spiro[[1,4]dioxepino[2,3-g]indole-8,7'-[5a,9a](epiminomethano)cyclopenta[f]indolizin]-10'
-one",[H][C@@]12C[C@@]34N(CC[C@@]3(C)O)C[C@@]1(C[C@@]1(C(O)=NC3=C1C=CC1=C3OC=CC(C)(C)O1)C2(C)C)N(C)C4=O,"InChI=1S/C28H35N3O5/c1-23(2)10-12-35-20-17(36-23)8-7-16-19(20)29-21(32)27(16)14-26-15-31-11-9-25(5,34)28(31,22(33)30(26)6)13-18(26)24(27,3)4/h7-8,10,12,18,34H,9,11,13-15H2,1-6H3,(H,29,32)/t18-,25+,26+,27+,28-/m0/s1",C28H35N3O5,493.604,493.257671,12,,28,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020649,Fusarenon-X,23255-69-8,XGCUCFKWVIWWNW-ASESAZNFSA-N,"(11xi)-3alpha,7,15-Trihydroxy-8-oxo-6beta-12,13-epoxytrichothec-9-en-4beta-yl acetate",CC(=O)O[C@@H]1[C@@H](O)C2OC3C=C(C)C(=O)C(O)[C@@]3(CO)[C@]1(C)[C@]21CO1,"InChI=1S/C17H22O8/c1-7-4-9-16(5-18,12(22)10(7)20)15(3)13(24-8(2)19)11(21)14(25-9)17(15)6-23-17/h4,9,11-14,18,21-22H,5-6H2,1-3H3/t9?,11-,12?,13-,14?,15-,16+,17+/m1/s1",C17H22O8,354.355,354.131468,47,55,6,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30938509,"3,15-Dihydroxy-12,13-epoxytrichothec-9-en-4-yl acetate",2531-11-5,YIFMFXZUYBFVFL-DIRMQTSCSA-N,"(12xi)-3alpha,15-Dihydroxy-12,13-epoxytrichothec-9-en-4beta-yl acetate",[H][C@@]12O[C@]3([H])C=C(C)CC[C@]3(CO)C(C)([C@H](OC(C)=O)[C@H]1O)C21CO1,"InChI=1S/C17H24O6/c1-9-4-5-16(7-18)11(6-9)23-14-12(20)13(22-10(2)19)15(16,3)17(14)8-21-17/h6,11-14,18,20H,4-5,7-8H2,1-3H3/t11-,12-,13-,14-,15?,16-,17?/m1/s1",C17H24O6,324.373,324.157288,5,,8,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00891859,Ergocryptinine,511-10-4,YDOTUXAWKBPQJW-JJANYQHSSA-N,"12'-Hydroxy-5'alpha-(2-methylpropyl)-3',6',18-trioxo-2'-(propan-2-yl)-8alpha-ergotaman",[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C,"InChI=1S/C32H41N5O5/c1-17(2)12-25-29(39)36-11-7-10-26(36)32(41)37(25)30(40)31(42-32,18(3)4)34-28(38)20-13-22-21-8-6-9-23-27(21)19(15-33-23)14-24(22)35(5)16-20/h6,8-9,13,15,17-18,20,24-26,33,41H,7,10-12,14,16H2,1-5H3,(H,34,38)/t20-,24+,25-,26-,31+,32-/m0/s1",C32H41N5O5,575.71,575.310769,26,,22,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30239563,Avenacein Y,93752-78-4,JSQAILNRMPHAGO-UHFFFAOYSA-N,"Methyl 5,9-dihydroxy-2-methyl-4,6-dioxo-4H,6H-benzo[1,2-b:4,5-c']dipyran-8-carboxylate",COC(=O)C1=C(O)C2=CC3=C(C(=O)C=C(C)O3)C(O)=C2C(=O)O1,"InChI=1S/C15H10O8/c1-5-3-7(16)10-8(22-5)4-6-9(12(10)18)14(19)23-13(11(6)17)15(20)21-2/h3-4,17-18H,1-2H3",C15H10O8,318.237,318.037567,13,1,17,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80891796,Aflatoxin G2,7241-98-7,WPCVRWVBBXIRMA-WNWIJWBNSA-N,"(7aR,10aS)-5-Methoxy-3,4,7a,9,10,10a-hexahydro-1H,12H-furo[3',2':4,5]furo[2,3-h]pyrano[3,4-c][1]benzopyran-1,12-dione",[H][C@]12OCC[C@@]1([H])C1=C3OC(=O)C4=C(CCOC4=O)C3=C(OC)C=C1O2,"InChI=1S/C17H14O7/c1-20-9-6-10-12(8-3-5-22-17(8)23-10)14-11(9)7-2-4-21-15(18)13(7)16(19)24-14/h6,8,17H,2-5H2,1H3/t8-,17+/m0/s1",C17H14O7,330.292,330.073953,58,,54,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10972643,"4b-Hydroxy-2-(2-hydroxypropan-2-yl)-12b,12c-dimethyl-5,6,6a,7,12,12b,12c,13,14,14a-decahydro-2H-[1]benzopyrano[5',6':6,7]indeno[1,2-b]indol-3(4bH)-one",57186-25-1,ACNHBCIZLNNLRS-UHFFFAOYSA-N,"4b-Hydroxy-2-(2-hydroxypropan-2-yl)-12b,12c-dimethyl-5,6,6a,7,12,12b,12c,13,14,14a-decahydro-2H-[1]benzopyrano[5',6':6,7]indeno[1,2-b]indol-3(4bH)-one",CC(C)(O)C1OC2CCC3(C)C4(C)C(CC5=C4NC4=CC=CC=C54)CCC3(O)C2=CC1=O,"InChI=1S/C27H33NO4/c1-24(2,30)23-20(29)14-18-21(32-23)10-11-25(3)26(4)15(9-12-27(18,25)31)13-17-16-7-5-6-8-19(16)28-22(17)26/h5-8,14-15,21,23,28,30-31H,9-13H2,1-4H3",C27H33NO4,435.564,435.240959,23,,23,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50169737,Aspyrone,17398-00-4,RCAULRNMJFUWRP-HETMPLHPSA-N,"(5S,6R)-5-Hydroxy-6-methyl-3-[(2S,3S)-3-methyloxiran-2-yl]-5,6-dihydro-2H-pyran-2-one",C[C@@H]1O[C@H]1C1=C[C@H](O)[C@@H](C)OC1=O,"InChI=1S/C9H12O4/c1-4-7(10)3-6(9(11)13-4)8-5(2)12-8/h3-5,7-8,10H,1-2H3/t4-,5+,7+,8-/m1/s1",C9H12O4,184.191,184.073559,13,2,22,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90893241,Ergometrinine,479-00-5,WVVSZNPYNCNODU-PLQHRBFRSA-N,"N-[(2S)-1-Hydroxypropan-2-yl]-6-methyl-9,10-didehydroergoline-8alpha-carboxamide",[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)C(=O)N[C@@H](C)CO,"InChI=1S/C19H23N3O2/c1-11(10-23)21-19(24)13-6-15-14-4-3-5-16-18(14)12(8-20-16)7-17(15)22(2)9-13/h3-6,8,11,13,17,20,23H,7,9-10H2,1-2H3,(H,21,24)/t11-,13-,17+/m0/s1",C19H23N3O2,325.412,325.179027,22,,22,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30210514,3-Methoxy-4-phenyl-1H-quinolin-2-one,6152-57-4,NDTLHHOQSHJIMX-UHFFFAOYSA-N,3-Methoxy-4-phenylquinolin-2(1H)-one,COC1=C(C2=CC=CC=C2)C2=CC=CC=C2NC1=O,"InChI=1S/C16H13NO2/c1-19-15-14(11-7-3-2-4-8-11)12-9-5-6-10-13(12)17-16(15)18/h2-10H,1H3,(H,17,18)",C16H13NO2,251.285,251.094629,9,,21,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40894006,Malformin C,59926-78-2,TZODYIWCRGWHQB-TZNCUMHOSA-N,"(1S,4S,7R,10S,13S)-4,7-Bis(2-methylpropyl)-10-(propan-2-yl)-15,16-dithia-2,5,8,11,19-pentaazabicyclo[11.4.2]nonadecane-3,6,9,12,18-pentone",CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H]2CSSC[C@@H](NC1=O)C(=O)N2)C(C)C,"InChI=1S/C23H39N5O5S2/c1-11(2)7-14-20(30)26-16-9-34-35-10-17(27-21(16)31)22(32)28-18(13(5)6)23(33)25-15(8-12(3)4)19(29)24-14/h11-18H,7-10H2,1-6H3,(H,24,29)(H,25,33)(H,26,30)(H,27,31)(H,28,32)/t14-,15+,16+,17+,18-/m0/s1",C23H39N5O5S2,529.72,529.239262,11,,16,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90960427,Cephalosporin C,61-24-5,HOKIDJSKDBPKTQ-GLXFQSAKSA-N,"(6R,7R)-3-[(Acetyloxy)methyl]-7-{[(5R)-5-amino-5-carboxypentanoyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O,"InChI=1S/C16H21N3O8S/c1-7(20)27-5-8-6-28-14-11(13(22)19(14)12(8)16(25)26)18-10(21)4-2-3-9(17)15(23)24/h9,11,14H,2-6,17H2,1H3,(H,18,21)(H,23,24)(H,25,26)/t9-,11-,14-/m1/s1",C16H21N3O8S,415.42,415.104936,28,,46,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80183082,Isolysergic acid amide,2889-26-1,GENAHGKEFJLNJB-IINYFYTJSA-N,"6-Methyl-9,10-didehydroergoline-8alpha-carboxamide",CN1C[C@H](C=C2[C@H]1CC1=CNC3=CC=CC2=C13)C(N)=O,"InChI=1S/C16H17N3O/c1-19-8-10(16(17)20)5-12-11-3-2-4-13-15(11)9(7-18-13)6-14(12)19/h2-5,7,10,14,18H,6,8H2,1H3,(H2,17,20)/t10-,14+/m0/s1",C16H17N3O,267.332,267.137162,10,,14,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20988553,"9a-Hydroxy-4-methoxy-2,3,6a,8,9,9a-hexahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h][1]benzopyran-1,11-dione",6885-57-0,OQLKWHFMUPJCJY-UHFFFAOYSA-N,"9a-Hydroxy-4-methoxy-2,3,6a,8,9,9a-hexahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h][1]benzopyran-1,11-dione",COC1=CC2=C(C3=C1C1=C(C(=O)CC1)C(=O)O3)C1(O)CCOC1O2,"InChI=1S/C17H14O7/c1-21-9-6-10-13(17(20)4-5-22-16(17)23-10)14-12(9)7-2-3-8(18)11(7)15(19)24-14/h6,16,20H,2-5H2,1H3",C17H14O7,330.292,330.073953,26,,25,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00880041,Brefeldin A,20350-15-6,KQNZDYYTLMIZCT-KQPMLPITSA-N,"(1R,2E,6S,10E,11aS,13S,14aR)-1,13-Dihydroxy-6-methyl-1,6,7,8,9,11a,12,13,14,14a-decahydro-4H-cyclopenta[f]oxacyclotridecin-4-one",[H][C@@]12C[C@H](O)C[C@@]1([H])[C@H](O)\C=C\C(=O)O[C@@H](C)CCC\C=C\2,"InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m0/s1",C16H24O4,280.364,280.167459,48,,75,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80894025,Andrastin D,NOCAS_894025,SMUNNMAWNRFDPB-UWWAQUNASA-N,"Methyl 17-hydroxy-4,4,8,12,16-pentamethyl-3,15-dioxo-5beta,8alpha,9beta,10alpha,13alpha-androsta-11,16-diene-14-carboxylate",[H][C@]12CC[C@@]3(C)[C@@]([H])(C=C(C)[C@@]4(C)C(O)=C(C)C(=O)[C@@]34C(=O)OC)[C@]1(C)CCC(=O)C2(C)C,"InChI=1S/C26H36O5/c1-14-13-17-23(5)11-10-18(27)22(3,4)16(23)9-12-24(17,6)26(21(30)31-8)20(29)15(2)19(28)25(14,26)7/h13,16-17,28H,9-12H2,1-8H3/t16-,17+,23-,24+,25+,26-/m1/s1",C26H36O5,428.569,428.256274,10,,13,,4, ,,
